,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,STUDENT ID
0,GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,1,0,0,0,yes,yes,no,no,4,3,4,1,1,3,4,0,11,11,0
1,GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,0,1,0,0,no,yes,yes,no,5,3,3,1,1,3,2,9,11,11,1
2,GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,0,1,0,0,0,yes,yes,yes,no,4,3,2,2,3,3,6,12,13,12,2
3,GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,0,1,0,1,yes,yes,yes,yes,3,2,2,1,1,5,0,14,14,14,3
4,GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,0,1,0,0,yes,yes,no,no,4,3,2,1,2,5,0,11,13,13,4
5,GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,0,1,0,1,yes,yes,yes,no,5,4,2,1,2,5,6,12,12,13,5
6,GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,0,0,0,0,yes,yes,yes,no,4,4,4,1,1,3,0,13,12,13,6
7,GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,1,1,0,0,yes,yes,no,no,4,1,4,1,1,1,2,10,13,13,7
8,GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,0,1,0,0,yes,yes,yes,no,4,2,2,1,1,1,0,15,16,17,8
9,GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,0,1,0,1,yes,yes,yes,no,5,5,1,1,1,5,0,12,12,13,9
10,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,0,yes,yes,yes,no,3,3,3,1,2,2,2,14,14,14,10
11,GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,0,1,0,1,yes,yes,yes,no,5,2,2,1,1,4,0,10,12,13,11
12,GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,0,1,0,1,yes,yes,yes,no,4,3,3,1,3,5,0,12,13,12,12
13,GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,0,1,0,0,yes,yes,yes,no,5,4,3,1,2,3,0,12,12,13,13
14,GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,0,1,0,0,yes,yes,yes,yes,4,5,2,1,1,3,0,14,14,15,14
15,GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,0,1,0,0,yes,yes,yes,no,4,4,4,1,2,2,6,17,17,17,15
16,GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,0,1,0,1,yes,yes,yes,no,3,2,3,1,2,2,10,13,13,14,16
17,GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,1,1,0,1,yes,yes,no,no,5,3,2,1,1,4,2,13,14,14,17
18,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,0,1,1,1,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7,18
19,GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,0,0,0,1,yes,yes,yes,no,3,1,3,1,3,5,6,12,12,12,19
20,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,0,0,0,0,yes,yes,yes,no,4,4,1,1,1,1,0,12,13,14,20
21,GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,0,1,1,0,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12,21
22,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,0,0,0,1,yes,yes,yes,no,4,5,1,1,3,5,0,12,13,14,22
23,GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,0,1,0,1,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10,23
24,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,1,1,0,1,yes,yes,yes,no,4,3,2,1,1,5,2,10,11,10,24
25,GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,0,0,1,0,0,no,yes,yes,no,1,2,2,1,3,5,6,10,11,12,25
26,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,0,1,0,0,yes,yes,yes,no,4,2,2,1,2,5,8,11,12,12,26
27,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,0,0,0,0,yes,yes,yes,no,2,2,4,2,4,1,0,11,11,11,27
28,GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,1,1,1,1,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13,28
29,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,0,1,1,1,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12,29
