subgroup,term,coef,p,significant
Ω,const,0.477599957607731,0.8466329406584965,no
Ω,STUDY HOURS,-0.21767156980619792,0.4581347768279391,no
Ω,READING NON-SCIENTIFIC,1.6067738281656294,0.0008645377507782331,yes
Ω,READING SCIENTIFIC,0.04487018831488265,0.9261686396586419,no
Ω,SEMINAR ATTENDANCE,0.502641295987894,0.42492800215410687,no
Ω,IMPACT PROJECTS,-1.3131798401408237,0.0150659484763527,yes
Ω,CLASS ATTENDANCE,-0.46092210189012117,0.4893387612629425,no
Ω,MIDTERM PREP1,-0.2679095559869282,0.5539183720661941,no
Ω,MIDTERM PREP2,-0.20613103501651953,0.7347918276411463,no
Ω,NOTE TAKING,-0.19634192388053778,0.6748386231580701,no
Ω,LISTENING,0.17134132685819486,0.6342865343393651,no
Ω,DISCUSSION,0.592728682348772,0.18276559116245578,no
Ω,EXPECTED GPA,-0.5835837819382248,0.1090844667906633,no
Ω,FLIPPED CLASSROOM,-0.1584661698719001,0.5810839354839212,no
Ω,PREVIOUS GPA,0.8060431539290391,0.0010816503348731153,yes
#1,const,44.834314775160486,0.5057940369710776,no
#1,STUDY HOURS,-8.338329764453947,0.4039196557191631,no
#1,READING NON-SCIENTIFIC,-13.177730192719473,0.5529589083343903,no
#1,READING SCIENTIFIC,5.879014989293347,0.4894009820567151,no
#1,SEMINAR ATTENDANCE,-11.562098501070668,0.5958924469629872,no
#1,IMPACT PROJECTS,-4.110813704496785,0.4064830223423864,no
#1,CLASS ATTENDANCE,44.83431477516068,0.5057940369710776,no
#1,MIDTERM PREP1,-3.5192719486081323,0.48172650647838955,no
#1,MIDTERM PREP2,19.52676659528902,0.5443230885027315,no
#1,NOTE TAKING,-15.9379014989293,0.49242210259775987,no
#1,LISTENING,-2.43147751605997,0.5519911830363841,no
#1,DISCUSSION,1.0546038543897618,0.8981412586625203,no
#1,EXPECTED GPA,6.78479657387577,0.6058368970805048,no
#1,FLIPPED CLASSROOM,-5.201284796573869,0.5303029785484275,no
#1,PREVIOUS GPA,-5.159528907922905,0.6045610327099757,no
#2,const,-72.23417883678916,0.31100643434510994,no
#2,STUDY HOURS,9.430181911349969,0.33714040104191556,no
#2,READING NON-SCIENTIFIC,-3.1960030745580736,0.4738729737259576,no
#2,READING SCIENTIFIC,13.276454009735748,0.2955805059561585,no
#2,SEMINAR ATTENDANCE,4.657186779400202,0.40535131300026955,no
#2,IMPACT PROJECTS,2.7453241096591663,0.44021002591234276,no
#2,CLASS ATTENDANCE,18.982833717652493,0.31770760881637,no
#2,MIDTERM PREP1,-15.024596464257835,0.3389642846255575,no
#2,MIDTERM PREP2,-17.12298232129077,0.33594960969522003,no
#2,NOTE TAKING,5.306430950550716,0.34943139013522645,no
#2,LISTENING,3.7327696643606005,0.29430923625944216,no
#2,DISCUSSION,-11.620035869843504,0.30231992318331197,no
#2,EXPECTED GPA,11.729951319497438,0.309069295987183,no
#2,FLIPPED CLASSROOM,4.6172175249806715,0.26191491133521966,no
#2,PREVIOUS GPA,2.2590315142197537,0.2942867578951247,no
#3,const,-14.85407352210646,0.2008528658179842,no
#3,STUDY HOURS,1.916542473919533,0.13936437150021103,no
#3,READING NON-SCIENTIFIC,8.841281669150607,0.21123877026447907,no
#3,READING SCIENTIFIC,7.732240437158546,0.1787521718255694,no
#3,SEMINAR ATTENDANCE,20.26229508196743,0.2320865664960166,no
#3,IMPACT PROJECTS,-7.310606060606151,0.21467927571942236,no
#3,CLASS ATTENDANCE,-2.7141082960755414,0.37797573670508666,no
#3,MIDTERM PREP1,-11.501490312965839,0.23220731081387336,no
#3,MIDTERM PREP2,-4.406110283159501,0.19918661247678102,no
#3,NOTE TAKING,-10.615499254843614,0.20487031640481362,no
#3,LISTENING,5.617983109786445,0.2170445905165187,no
#3,DISCUSSION,3.1885245901639667,0.2018016423876306,no
#3,EXPECTED GPA,-13.176602086438294,0.22043462353498716,no
#3,FLIPPED CLASSROOM,2.6626924987581004,0.2607623068858429,no
#3,PREVIOUS GPA,7.951068057625508,0.20217061461915653,no
#4,const,-68.77490923759648,0.380374208502248,no
#4,STUDY HOURS,0.6323114158935188,0.8148619280127853,no
#4,READING NON-SCIENTIFIC,9.346208148447023,0.2801271339807748,no
#4,READING SCIENTIFIC,-6.2144513916902735,0.5106599238396528,no
#4,SEMINAR ATTENDANCE,4.735528438886663,0.23209066915787713,no
#4,IMPACT PROJECTS,2.9723678902784094,0.7658684729989633,no
#4,CLASS ATTENDANCE,2.434449374747917,0.5541632583105714,no
#4,MIDTERM PREP1,-6.584963695038373,0.3223666328486355,no
#4,MIDTERM PREP2,1.0654497781363035,0.8295122299813144,no
#4,NOTE TAKING,12.661052843888807,0.4063172189215013,no
#4,LISTENING,9.266034691407922,0.39639187055812664,no
#4,DISCUSSION,4.993394513916955,0.40775583674500365,no
#4,EXPECTED GPA,4.473981444130744,0.4161593832519749,no
#4,FLIPPED CLASSROOM,-1.5398346107301377,0.4352856281815148,no
#4,PREVIOUS GPA,-4.870865268253379,0.43172814605090076,no
#5,const,-28.327849129244985,0.06305275169285822,yes
#5,STUDY HOURS,-2.25136102505489,0.10403861133062967,no
#5,READING NON-SCIENTIFIC,9.187595873311926,0.03088349092126796,yes
#5,READING SCIENTIFIC,-2.851430204228965,0.18753412139533313,no
#5,SEMINAR ATTENDANCE,1.2925226336211004,0.30774050144005216,no
#5,IMPACT PROJECTS,9.475742172226122,0.054739262725735205,yes
#5,CLASS ATTENDANCE,-4.599663127500239,0.07230745016436066,yes
#5,MIDTERM PREP1,-0.19761181459981048,0.8667661343203035,no
#5,MIDTERM PREP2,7.069630342587272,0.057905688343164397,yes
#5,NOTE TAKING,1.4594549884200236,0.2527318243462225,no
