subgroup,term,coef,p,significant
Ω,const,-1.8264506466315171,0.0004487713687071777,yes
Ω,G1,0.17896993217736273,0.013237879968483081,yes
Ω,G2,0.9586432205784338,3.6130983297210943e-38,yes
Ω,absences,0.03080418945587118,0.034082445664098356,yes
Ω,activities,-0.1679144838535478,0.48096005270349707,no
Ω,paid,0.10008503877574043,0.6887108573558911,no
Ω,famsup,0.03423257749624936,0.8923186188499928,no
Ω,schoolsup,0.4079886124688378,0.28542467698650137,no
Ω,studytime,-0.08402444003458806,0.5760644464144056,no
#0,const,-11.642901936778816,0.007414038586712559,yes
#0,G1,-0.17404304797118525,0.7143708567916525,no
#0,G2,2.1716172708152617,0.003457125577129408,yes
#0,absences,0.7099712627119901,0.012555113561249831,yes
#0,activities,-1.5913449322302844,0.19452867141328717,no
#0,paid,1.4755569586825477,0.28376891563849044,no
#0,famsup,0.0269420415556354,0.982592574016018,no
#0,schoolsup,-0.39048083042177595,0.8295420153179113,no
#0,studytime,-1.256268740209534,0.07968395949099036,yes
#1,const,-8.450384894494062,0.006486280645541278,yes
#1,G1,-0.5331204501051567,0.2810096477674562,no
#1,G2,2.0360223224381886,0.0023114539562213033,yes
#1,absences,0.6046808160795173,0.005627474225147041,yes
#1,activities,-2.3122588272131916,0.22311182760127413,no
#1,paid,-3.466924516788679,0.07757053565126468,yes
#1,famsup,1.791297738536088,0.2193554544609214,no
#1,schoolsup,-0.4487077815652878,0.8887152728621773,no
#1,studytime,0.8486843077069204,0.5217843185773999,no
#2,const,-7.939908734318054,0.03766487300501186,yes
#2,G1,0.19992661321276373,0.6796613227763919,no
#2,G2,1.5944795321748648,0.01550586278791376,yes
#2,absences,0.5757962974807704,0.04068002958613215,yes
#2,activities,-2.345041943516194,0.07483677565104414,yes
#2,paid,0.8831448015000944,0.5423819600754762,no
#2,famsup,0.46163105911562086,0.7159361121602412,no
#2,schoolsup,-1.012182516511781,0.6076343771356014,no
