subgroup,term,coef,p,significant
Ω,const,0.027177072034215377,0.9192777344354006,no
Ω,G1,0.1329528050058349,0.0007180219702115749,yes
Ω,G2,0.8909118628688489,5.217998654484697e-84,yes
Ω,absences,0.01097919731112511,0.3645877590866422,no
Ω,activities,-0.05163161341615541,0.6360657209567585,no
Ω,paid,-0.44917929574118803,0.04341290561962752,yes
Ω,famsup,0.09884040336745548,0.38271934540217656,no
Ω,schoolsup,0.027471533623446787,0.8815940853921417,no
Ω,studytime,0.023781461857021735,0.7361056996738952,no
#0,const,-3.4487160854328325,0.3855898026819222,no
#0,G1,1.4913124177942656,0.12287624024456532,no
#0,G2,0.0026282702779838463,0.9973254000615425,no
#0,absences,0.4193807587837536,0.03531217229821465,yes
#0,activities,-0.7943053032889806,0.5827689123203053,no
#0,paid,8.39336708259807,0.07823422307158426,yes
#0,famsup,-2.9518196773604157,0.07195345923670578,yes
#0,schoolsup,8.384420073291734,0.011854105972323533,yes
#0,studytime,-1.535140291879082,0.10844365779708186,no
#1,const,-3.4487160854328325,0.3855898026819222,no
#1,G1,1.4913124177942656,0.12287624024456532,no
#1,G2,0.0026282702779838463,0.9973254000615425,no
#1,absences,0.4193807587837536,0.03531217229821465,yes
#1,activities,-0.7943053032889806,0.5827689123203053,no
#1,paid,8.39336708259807,0.07823422307158426,yes
#1,famsup,-2.9518196773604157,0.07195345923670578,yes
#1,schoolsup,8.384420073291734,0.011854105972323533,yes
#1,studytime,-1.535140291879082,0.10844365779708186,no
#2,const,-3.37963989743756,0.34115047909906104,no
#2,G1,1.2854923905223,0.1940432052698221,no
#2,G2,-0.20075778054491744,0.8332820006983561,no
#2,absences,-0.2021250128610092,0.23146378560329095,no
#2,activities,4.727344420239825,0.017937580984317806,yes
#2,paid,-1.0312668962151907e-14,0.018923161582707963,yes
#2,famsup,-1.6830815542475728,0.2333087313206547,no
#2,schoolsup,2.400881837251193,0.14281334853487856,no
#2,studytime,-0.1724250372499747,0.8306060739175688,no
#3,const,1.204152483670346,0.7300998512296966,no
#3,G1,0.7680985077829808,0.2688408283401563,no
#3,G2,0.13467711859077974,0.8153782087467338,no
#3,absences,0.0961671639500663,0.21934705979161634,no
#3,activities,2.4647837687160785,0.035827758408650684,yes
#3,paid,3.5889320098587265,0.055444106441779877,yes
#3,famsup,-1.9920096673781058,0.08939776613281085,yes
#3,schoolsup,0.8806389650075284,0.5637116704080863,no
#3,studytime,-1.3120540506482272,0.22191816529894026,no
#4,const,3.211399474416176,0.4308922428617995,no
#4,G1,0.49536403387458905,0.49032315084221545,no
#4,G2,0.37718887968654263,0.5382357793769332,no
#4,absences,0.034477615712897425,0.7052590832737904,no
#4,activities,1.8599811994873328,0.13983235133114164,no
#4,paid,3.661879605800811,0.09099631189199332,yes
#4,famsup,-1.7149384848873435,0.21800378068344667,no
#4,schoolsup,2.4466396360056297,0.21402339605226336,no
#4,studytime,-1.9251506386110455,0.10927242656264367,no
#5,const,1.9133042551873096,0.6684116637468347,no
#5,G1,0.3682755670251163,0.5993436947445467,no
#5,G2,0.4954249344692352,0.5635680709079507,no
#5,absences,0.30798831212915856,0.09920392430281642,yes
#5,activities,-0.5524159521924972,0.6906715526489849,no
#5,paid,2.5083621786523995,0.36289389901066715,no
#5,famsup,-1.7832676775068652,0.22776177023867902,no
#5,schoolsup,8.317035864224202,0.016973568835686792,yes
#5,studytime,-0.531661504655645,0.5059437142371657,no
#6,const,-1.3607273092235141,0.6546075495923935,no
#6,G1,0.9262692327578107,0.31654829179700156,no
#6,G2,-0.0007073997646015462,0.9993908197452321,no
#6,absences,-0.038592254509566104,0.7590865135152917,no
#6,activities,3.827647364971515,0.02869509020793249,yes
#6,paid,-2.0404741975263927e-14,0.02799903069959541,yes
#6,famsup,-1.9033450324056165,0.14594063377149855,no
#6,schoolsup,1.8059391356778107,0.2378642066225055,no
#6,studytime,0.05648857515640149,0.936466332550884,no
#7,const,-1.3607273092235141,0.6546075495923935,no
#7,G1,0.9262692327578107,0.31654829179700156,no
#7,G2,-0.0007073997646015462,0.9993908197452321,no
#7,absences,-0.038592254509566104,0.7590865135152917,no
#7,activities,3.827647364971515,0.02869509020793249,yes
#7,paid,-2.0404741975263927e-14,0.02799903069959541,yes
#7,famsup,-1.9033450324056165,0.14594063377149855,no
#7,schoolsup,1.8059391356778107,0.2378642066225055,no
#7,studytime,0.05648857515640149,0.936466332550884,no
#8,const,0.37841644989205125,0.9029558207515442,no
#8,G1,0.015188746328089753,0.9694679872922494,no
#8,G2,0.8505023253049422,0.06498227189940355,yes
#8,absences,0.18660632049998757,0.07765312677292874,yes
#8,activities,2.5820435528178627,0.04438498629419097,yes
#8,paid,3.3014423528388956,0.19990147787326068,no
#8,famsup,-1.1544022218137915,0.34220535802990026,no
#8,schoolsup,0.0,,no
#8,studytime,-1.0056609282212068,0.42325052725951473,no
#9,const,2.383501809706654,0.338177451415525,no
#9,G1,-0.6879956709738764,0.21696266070686065,no
#9,G2,1.2325461987177948,0.01561023192842464,yes
#9,absences,-0.02695490477156512,0.8507045958628157,no
#9,activities,3.7427991649617383,0.05175673389382877,yes
#9,paid,5.667640689044607e-15,0.08502938030256198,yes
#9,famsup,-1.8713162123643492,0.21422309584304836,no
#9,schoolsup,1.3354915602445556,0.4156256658123947,no
#9,studytime,0.5114906032433939,0.5657786517534714,no
#10,const,1.6998916489453144,0.6988367053470403,no
#10,G1,0.29348898419563196,0.6488613945013963,no
#10,G2,0.7148586733167033,0.2604711194652149,no
#10,absences,0.03994973548992958,0.8283705019503602,no
#10,activities,0.9472232886994791,0.3658073296604457,no
#10,paid,2.810973245808034,0.19536218376446543,no
#10,famsup,-1.2824816300833222,0.3284415573858409,no
#10,schoolsup,6.238749423632823,0.03495891930150058,yes
#10,studytime,-1.6868593063176691,0.2825599403227809,no
