subgroup,term,coef
Ω,const,-1.7748360804981698
Ω,G1,0.18717081757617016
Ω,G2,0.9622716940791969
Ω,absences,0.02404838815306564
Ω,activities,-0.07883195934181664
Ω,paid,-0.00762533758486611
Ω,famsup,-0.1203421028497339
Ω,schoolsup,0.3757417005740624
Ω,studytime,-0.1279796466867239
#1,const,-1.7748360804981698
#1,G1,0.18717081757617016
#1,G2,0.9622716940791969
#1,absences,0.02404838815306564
#1,activities,-0.07883195934181664
#1,paid,-0.00762533758486611
#1,famsup,-0.1203421028497339
#1,schoolsup,0.3757417005740624
#1,studytime,-0.1279796466867239
#2,const,-1.7748360804981698
#2,G1,0.18717081757617016
#2,G2,0.9622716940791969
#2,absences,0.02404838815306564
#2,activities,-0.07883195934181664
#2,paid,-0.00762533758486611
#2,famsup,-0.1203421028497339
#2,schoolsup,0.3757417005740624
#2,studytime,-0.1279796466867239
#3,const,-1.7748360804981698
#3,G1,0.18717081757617016
#3,G2,0.9622716940791969
#3,absences,0.02404838815306564
#3,activities,-0.07883195934181664
#3,paid,-0.00762533758486611
#3,famsup,-0.1203421028497339
#3,schoolsup,0.3757417005740624
#3,studytime,-0.1279796466867239
#4,const,-1.7748360804981698
#4,G1,0.18717081757617016
#4,G2,0.9622716940791969
#4,absences,0.02404838815306564
#4,activities,-0.07883195934181664
#4,paid,-0.00762533758486611
#4,famsup,-0.1203421028497339
#4,schoolsup,0.3757417005740624
#4,studytime,-0.1279796466867239
#5,const,-1.7748360804981698
#5,G1,0.18717081757617016
#5,G2,0.9622716940791969
#5,absences,0.02404838815306564
#5,activities,-0.07883195934181664
#5,paid,-0.00762533758486611
#5,famsup,-0.1203421028497339
#5,schoolsup,0.3757417005740624
#5,studytime,-0.1279796466867239
#6,const,-1.7748360804981698
#6,G1,0.18717081757617016
#6,G2,0.9622716940791969
#6,absences,0.02404838815306564
#6,activities,-0.07883195934181664
#6,paid,-0.00762533758486611
#6,famsup,-0.1203421028497339
#6,schoolsup,0.3757417005740624
#6,studytime,-0.1279796466867239
#7,const,-1.7748360804981698
#7,G1,0.18717081757617016
#7,G2,0.9622716940791969
#7,absences,0.02404838815306564
#7,activities,-0.07883195934181664
#7,paid,-0.00762533758486611
#7,famsup,-0.1203421028497339
#7,schoolsup,0.3757417005740624
#7,studytime,-0.1279796466867239
#8,const,-1.7748360804981698
#8,G1,0.18717081757617016
#8,G2,0.9622716940791969
#8,absences,0.02404838815306564
#8,activities,-0.07883195934181664
#8,paid,-0.00762533758486611
#8,famsup,-0.1203421028497339
#8,schoolsup,0.3757417005740624
#8,studytime,-0.1279796466867239
#9,const,-1.7748360804981698
#9,G1,0.18717081757617016
#9,G2,0.9622716940791969
#9,absences,0.02404838815306564
#9,activities,-0.07883195934181664
#9,paid,-0.00762533758486611
#9,famsup,-0.1203421028497339
#9,schoolsup,0.3757417005740624
#9,studytime,-0.1279796466867239
#10,const,-1.7748360804981698
#10,G1,0.18717081757617016
#10,G2,0.9622716940791969
#10,absences,0.02404838815306564
#10,activities,-0.07883195934181664
#10,paid,-0.00762533758486611
#10,famsup,-0.1203421028497339
#10,schoolsup,0.3757417005740624
#10,studytime,-0.1279796466867239
#11,const,-1.7748360804981698
#11,G1,0.18717081757617016
#11,G2,0.9622716940791969
#11,absences,0.02404838815306564
#11,activities,-0.07883195934181664
#11,paid,-0.00762533758486611
#11,famsup,-0.1203421028497339
#11,schoolsup,0.3757417005740624
#11,studytime,-0.1279796466867239
#12,const,-1.7748360804981698
#12,G1,0.18717081757617016
#12,G2,0.9622716940791969
#12,absences,0.02404838815306564
#12,activities,-0.07883195934181664
#12,paid,-0.00762533758486611
#12,famsup,-0.1203421028497339
#12,schoolsup,0.3757417005740624
#12,studytime,-0.1279796466867239
#13,const,-1.7748360804981698
#13,G1,0.18717081757617016
#13,G2,0.9622716940791969
#13,absences,0.02404838815306564
#13,activities,-0.07883195934181664
#13,paid,-0.00762533758486611
#13,famsup,-0.1203421028497339
#13,schoolsup,0.3757417005740624
#13,studytime,-0.1279796466867239
#14,const,-1.7748360804981698
#14,G1,0.18717081757617016
#14,G2,0.9622716940791969
#14,absences,0.02404838815306564
#14,activities,-0.07883195934181664
#14,paid,-0.00762533758486611
#14,famsup,-0.1203421028497339
#14,schoolsup,0.3757417005740624
#14,studytime,-0.1279796466867239
#15,const,-1.7748360804981698
#15,G1,0.18717081757617016
#15,G2,0.9622716940791969
#15,absences,0.02404838815306564
#15,activities,-0.07883195934181664
#15,paid,-0.00762533758486611
#15,famsup,-0.1203421028497339
#15,schoolsup,0.3757417005740624
#15,studytime,-0.1279796466867239
#16,const,-1.7748360804981698
#16,G1,0.18717081757617016
#16,G2,0.9622716940791969
#16,absences,0.02404838815306564
#16,activities,-0.07883195934181664
#16,paid,-0.00762533758486611
#16,famsup,-0.1203421028497339
#16,schoolsup,0.3757417005740624
#16,studytime,-0.1279796466867239
#17,const,-1.7748360804981698
#17,G1,0.18717081757617016
#17,G2,0.9622716940791969
#17,absences,0.02404838815306564
#17,activities,-0.07883195934181664
#17,paid,-0.00762533758486611
#17,famsup,-0.1203421028497339
#17,schoolsup,0.3757417005740624
#17,studytime,-0.1279796466867239
#18,const,-1.7748360804981698
#18,G1,0.18717081757617016
#18,G2,0.9622716940791969
#18,absences,0.02404838815306564
#18,activities,-0.07883195934181664
#18,paid,-0.00762533758486611
#18,famsup,-0.1203421028497339
#18,schoolsup,0.3757417005740624
#18,studytime,-0.1279796466867239
#19,const,-1.7748360804981698
#19,G1,0.18717081757617016
#19,G2,0.9622716940791969
#19,absences,0.02404838815306564
#19,activities,-0.07883195934181664
#19,paid,-0.00762533758486611
#19,famsup,-0.1203421028497339
#19,schoolsup,0.3757417005740624
#19,studytime,-0.1279796466867239
#20,const,-1.7748360804981698
#20,G1,0.18717081757617016
#20,G2,0.9622716940791969
#20,absences,0.02404838815306564
#20,activities,-0.07883195934181664
#20,paid,-0.00762533758486611
#20,famsup,-0.1203421028497339
#20,schoolsup,0.3757417005740624
#20,studytime,-0.1279796466867239
#21,const,-1.7748360804981698
#21,G1,0.18717081757617016
#21,G2,0.9622716940791969
#21,absences,0.02404838815306564
#21,activities,-0.07883195934181664
#21,paid,-0.00762533758486611
#21,famsup,-0.1203421028497339
#21,schoolsup,0.3757417005740624
#21,studytime,-0.1279796466867239
#22,const,-1.7748360804981698
#22,G1,0.18717081757617016
#22,G2,0.9622716940791969
#22,absences,0.02404838815306564
#22,activities,-0.07883195934181664
#22,paid,-0.00762533758486611
#22,famsup,-0.1203421028497339
#22,schoolsup,0.3757417005740624
#22,studytime,-0.1279796466867239
#23,const,-1.7748360804981698
#23,G1,0.18717081757617016
#23,G2,0.9622716940791969
#23,absences,0.02404838815306564
#23,activities,-0.07883195934181664
#23,paid,-0.00762533758486611
#23,famsup,-0.1203421028497339
#23,schoolsup,0.3757417005740624
#23,studytime,-0.1279796466867239
#24,const,-1.7748360804981698
#24,G1,0.18717081757617016
#24,G2,0.9622716940791969
#24,absences,0.02404838815306564
#24,activities,-0.07883195934181664
#24,paid,-0.00762533758486611
#24,famsup,-0.1203421028497339
#24,schoolsup,0.3757417005740624
#24,studytime,-0.1279796466867239
#25,const,-1.7748360804981698
#25,G1,0.18717081757617016
#25,G2,0.9622716940791969
#25,absences,0.02404838815306564
#25,activities,-0.07883195934181664
#25,paid,-0.00762533758486611
#25,famsup,-0.1203421028497339
#25,schoolsup,0.3757417005740624
#25,studytime,-0.1279796466867239
#26,const,-1.7748360804981698
#26,G1,0.18717081757617016
#26,G2,0.9622716940791969
#26,absences,0.02404838815306564
#26,activities,-0.07883195934181664
#26,paid,-0.00762533758486611
#26,famsup,-0.1203421028497339
#26,schoolsup,0.3757417005740624
#26,studytime,-0.1279796466867239
#27,const,-1.7748360804981698
#27,G1,0.18717081757617016
#27,G2,0.9622716940791969
#27,absences,0.02404838815306564
#27,activities,-0.07883195934181664
#27,paid,-0.00762533758486611
#27,famsup,-0.1203421028497339
#27,schoolsup,0.3757417005740624
#27,studytime,-0.1279796466867239
#28,const,-1.7748360804981698
#28,G1,0.18717081757617016
#28,G2,0.9622716940791969
#28,absences,0.02404838815306564
#28,activities,-0.07883195934181664
#28,paid,-0.00762533758486611
#28,famsup,-0.1203421028497339
#28,schoolsup,0.3757417005740624
#28,studytime,-0.1279796466867239
#29,const,-1.7748360804981698
#29,G1,0.18717081757617016
#29,G2,0.9622716940791969
#29,absences,0.02404838815306564
#29,activities,-0.07883195934181664
#29,paid,-0.00762533758486611
#29,famsup,-0.1203421028497339
#29,schoolsup,0.3757417005740624
#29,studytime,-0.1279796466867239
#30,const,-1.7748360804981698
#30,G1,0.18717081757617016
#30,G2,0.9622716940791969
#30,absences,0.02404838815306564
#30,activities,-0.07883195934181664
#30,paid,-0.00762533758486611
#30,famsup,-0.1203421028497339
#30,schoolsup,0.3757417005740624
#30,studytime,-0.1279796466867239
#31,const,-1.7748360804981698
#31,G1,0.18717081757617016
#31,G2,0.9622716940791969
#31,absences,0.02404838815306564
#31,activities,-0.07883195934181664
#31,paid,-0.00762533758486611
#31,famsup,-0.1203421028497339
#31,schoolsup,0.3757417005740624
#31,studytime,-0.1279796466867239
#32,const,-1.7748360804981698
#32,G1,0.18717081757617016
#32,G2,0.9622716940791969
#32,absences,0.02404838815306564
#32,activities,-0.07883195934181664
#32,paid,-0.00762533758486611
#32,famsup,-0.1203421028497339
#32,schoolsup,0.3757417005740624
#32,studytime,-0.1279796466867239
#33,const,-1.7748360804981698
#33,G1,0.18717081757617016
#33,G2,0.9622716940791969
#33,absences,0.02404838815306564
#33,activities,-0.07883195934181664
#33,paid,-0.00762533758486611
#33,famsup,-0.1203421028497339
#33,schoolsup,0.3757417005740624
#33,studytime,-0.1279796466867239
#34,const,-1.7748360804981698
#34,G1,0.18717081757617016
#34,G2,0.9622716940791969
