subgroup,n,cookD,indices,term,coef_group,se_group,t_group,p_group,sig_group,coef_global,se_global,t_global,p_global,sig_global
Fjob=='services' ∧ guardian=='father' ∧ internet=='yes',20,355.3541791371681,"[22, 29, 33, 56, 68, 92, 101, 104, 106, 111, 112, 120, 136, 137, 151, 171, 193, 210, 231, 266]",Intercept,-11.642901936780845,3.556311167400059,-3.2738704204257565,0.007414038586707563,**,-1.8264506466315993,0.5139336894978452,-3.553864406935823,0.00044877136870704194,***
Fjob=='services' ∧ guardian=='father' ∧ internet=='yes',20,355.3541791371681,"[22, 29, 33, 56, 68, 92, 101, 104, 106, 111, 112, 120, 136, 137, 151, 171, 193, 210, 231, 266]",G1,-0.17404304797128134,0.46339774460619004,-0.37558026554313206,0.7143708567915058, ,0.1789699321773739,0.07176120469458584,2.493964990402072,0.013237879968477698,*
Fjob=='services' ∧ guardian=='father' ∧ internet=='yes',20,355.3541791371681,"[22, 29, 33, 56, 68, 92, 101, 104, 106, 111, 112, 120, 136, 137, 151, 171, 193, 210, 231, 266]",G2,2.1716172708154744,0.5857614827903777,3.7073405039720164,0.0034571255771280117,**,0.9586432205784376,0.06289422072402141,15.242151179278379,3.613098329719908e-38,***
Fjob=='services' ∧ guardian=='father' ∧ internet=='yes',20,355.3541791371681,"[22, 29, 33, 56, 68, 92, 101, 104, 106, 111, 112, 120, 136, 137, 151, 171, 193, 210, 231, 266]",absences,0.7099712627120571,0.2383724512211823,2.9784115533270463,0.01255511356124422,*,0.030804189455871378,0.014461763764324786,2.1300437455534396,0.03408244566409777,*
Fjob=='services' ∧ guardian=='father' ∧ internet=='yes',20,355.3541791371681,"[22, 29, 33, 56, 68, 92, 101, 104, 106, 111, 112, 120, 136, 137, 151, 171, 193, 210, 231, 266]",activities,-1.5913449322301858,1.1518636646454288,-1.3815393097932644,0.19452867141331415, ,-0.16791448385354535,0.2379240768504937,-0.7057481784790497,0.4809600527035037, 
Fjob=='services' ∧ guardian=='father' ∧ internet=='yes',20,355.3541791371681,"[22, 29, 33, 56, 68, 92, 101, 104, 106, 111, 112, 120, 136, 137, 151, 171, 193, 210, 231, 266]",paid,1.4755569586825175,1.3093989062244484,1.126896434438893,0.28376891563849993, ,0.10008503877574881,0.2495632499843142,0.4010407733592164,0.6887108573558665, 
Fjob=='services' ∧ guardian=='father' ∧ internet=='yes',20,355.3541791371681,"[22, 29, 33, 56, 68, 92, 101, 104, 106, 111, 112, 120, 136, 137, 151, 171, 193, 210, 231, 266]",famsup,0.02694204155559987,1.2070904263441873,0.0223198204273701,0.9825925740160409, ,0.03423257749624575,0.25263884666250536,0.13550005451844188,0.8923186188500041, 
Fjob=='services' ∧ guardian=='father' ∧ internet=='yes',20,355.3541791371681,"[22, 29, 33, 56, 68, 92, 101, 104, 106, 111, 112, 120, 136, 137, 151, 171, 193, 210, 231, 266]",schoolsup,-0.3904808304216374,1.7711115813850336,-0.2204721794638574,0.8295420153179709, ,0.40798861246885565,0.3811701223319091,1.0703583218245893,0.2854246769864805, 
Fjob=='services' ∧ guardian=='father' ∧ internet=='yes',20,355.3541791371681,"[22, 29, 33, 56, 68, 92, 101, 104, 106, 111, 112, 120, 136, 137, 151, 171, 193, 210, 231, 266]",studytime,-1.2562687402094301,0.6506613251644041,-1.9307567418303304,0.0796839594910124,.,-0.08402444003457177,0.15008908452667222,-0.5598304520249096,0.5760644464144824, 
"Fedu in (-0.001, 2.0] ∧ Fjob=='services' ∧ Medu in (-0.001, 2.0]",23,250.90043408364087,"[4, 29, 39, 58, 70, 106, 120, 133, 151, 161, 162, 171, 205, 220, 224, 231, 232, 239, 244, 260, 261, 266, 267]",Intercept,-8.450384894493425,2.6449791473047513,-3.1948776999260713,0.006486280645543594,**,-1.8264506466315993,0.5139336894978452,-3.553864406935823,0.00044877136870704194,***
