r2,mae,mse,mean_residual,intercept,coef__G1,pval__G1,coef__G2,pval__G2,coef__absences,pval__absences,coef__activities,pval__activities,coef__paid,pval__paid,coef__famsup,pval__famsup,coef__schoolsup,pval__schoolsup,coef__studytime,pval__studytime,model_type,description,cookD,indices,n_train,n_test,baseline_r2,baseline_mae,baseline_mse,baseline_mean_residual,ttest_p,ttest_stat,wilcoxon_p,wilcoxon_stat,ttest_p_mean,ttest_stat_mean,wilcoxon_p_mean,wilcoxon_stat_mean,ttest_p_mean_global,ttest_stat_mean_global,wilcoxon_p_mean_global,wilcoxon_stat_mean_global
0.3792,2.6218,14.3445,1.5204,-11.642901936778816,-0.17404304797118525,0.7143708567916525,2.1716172708152617,0.003457125577129408,0.7099712627119901,0.012555113561249831,-1.5913449322302844,0.19452867141328717,1.4755569586825477,0.28376891563849044,0.0269420415556354,0.982592574016018,-0.39048083042177595,0.8295420153179113,-1.256268740209534,0.07968395949099036,subgroup,Fjob=='services' ∧ guardian=='father' ∧ internet=='yes',355.3541791371681,"[22, 29, 33, 56, 68, 92, 101, 104, 106, 111, 112, 120, 136, 137, 151, 171, 193, 210, 231, 266]",20,11,0.6445,1.8051,8.215,-0.3758,0.7625677165725543,0.7424994491475452,0.92626953125,49.0,0.29457788073073726,-0.5579421959177094,0.35009765625,28.0,0.05190525374187426,-1.7895055779390714,0.07373046875,16.0
-0.1449,3.3496,15.1479,1.562,-8.450384894494062,-0.5331204501051567,0.2810096477674562,2.0360223224381886,0.0023114539562213033,0.6046808160795173,0.005627474225147041,-2.3122588272131916,0.22311182760127413,-3.466924516788679,0.07757053565126468,1.791297738536088,0.2193554544609214,-0.4487077815652878,0.8887152728621773,0.8486843077069204,0.5217843185773999,subgroup,"Fedu in (-0.001, 2.0] ∧ Fjob=='services' ∧ Medu in (-0.001, 2.0]",250.90043408364087,"[4, 29, 39, 58, 70, 106, 120, 133, 151, 161, 162, 171, 205, 220, 224, 231, 232, 239, 244, 260, 261, 266, 267]",23,13,0.6287,1.4203,4.9125,0.1623,0.9809951763349316,2.330880452644393,0.9892578125,77.0,0.43877679847864903,-0.15739147383326643,0.63232421875,50.0,0.02049251491625375,-2.289277824018246,0.047119140625,21.0
0.5655,2.5621,10.2022,0.8705,-7.939908734318054,0.19992661321276373,0.6796613227763919,1.5944795321748648,0.01550586278791376,0.5757962974807704,0.04068002958613215,-2.345041943516194,0.07483677565104414,0.8831448015000944,0.5423819600754762,0.46163105911562086,0.7159361121602412,-1.012182516511781,0.6076343771356014,-1.3121129646551535,0.08830553498524912,subgroup,Fjob=='services' ∧ guardian=='father',226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",22,13,0.7039,1.5318,6.9513,-0.3224,0.7282338936017145,0.6252219621735411,0.952880859375,69.0,0.14920085082423454,-1.0869695767880474,0.2708740234375,36.0,0.024899266598003816,-2.181067480393127,0.0286865234375,18.0
0.5655,2.5621,10.2022,0.8705,-7.939908734318054,0.19992661321276373,0.6796613227763919,1.5944795321748648,0.01550586278791376,0.5757962974807704,0.04068002958613215,-2.345041943516194,0.07483677565104414,0.8831448015000944,0.5423819600754762,0.46163105911562086,0.7159361121602412,-1.012182516511781,0.6076343771356014,-1.3121129646551535,0.08830553498524912,subgroup,"Fjob=='services' ∧ failures in (-0.001, 3.0] ∧ guardian=='father'",226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",22,13,0.7039,1.5318,6.9513,-0.3224,0.7282338936017145,0.6252219621735411,0.952880859375,69.0,0.14920085082423454,-1.0869695767880474,0.2708740234375,36.0,0.024899266598003816,-2.181067480393127,0.0286865234375,18.0
0.5655,2.5621,10.2022,0.8705,-7.939908734318054,0.19992661321276373,0.6796613227763919,1.5944795321748648,0.01550586278791376,0.5757962974807704,0.04068002958613215,-2.345041943516194,0.07483677565104414,0.8831448015000944,0.5423819600754762,0.46163105911562086,0.7159361121602412,-1.012182516511781,0.6076343771356014,-1.3121129646551535,0.08830553498524912,subgroup,Fjob=='services' ∧ Pstatus=='T' ∧ guardian=='father',226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",22,13,0.7039,1.5318,6.9513,-0.3224,0.7282338936017145,0.6252219621735411,0.952880859375,69.0,0.14920085082423454,-1.0869695767880474,0.2708740234375,36.0,0.024899266598003816,-2.181067480393127,0.0286865234375,18.0
0.6483,2.451,9.6605,0.7079,-7.939908734318054,0.19992661321276373,0.6796613227763919,1.5944795321748648,0.01550586278791376,0.5757962974807704,0.04068002958613215,-2.345041943516194,0.07483677565104414,0.8831448015000944,0.5423819600754762,0.46163105911562086,0.7159361121602412,-1.012182516511781,0.6076343771356014,-1.3121129646551535,0.08830553498524912,subgroup,"Fjob=='services' ∧ guardian=='father' ∧ traveltime in (0.999, 2.0]",226.6187843552835,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",22,11,0.7307,1.524,7.3988,-0.6388,0.6413235824228085,0.37241824896847114,0.91259765625,48.0,0.11721093147293843,-1.2653851604334352,0.1826171875,22.0,0.020735499073055868,-2.3381379017505224,0.01611328125,9.0
0.3185,2.7176,11.5345,1.3425,-8.010541744824119,0.19790041016475254,0.6955026552313079,1.5993781986560025,0.020713075702690993,0.5751488099216452,0.04991849529278589,-2.3314832699976806,0.09291396958228135,0.8905069690084151,0.5568201557468896,0.4735227815313572,0.7229217133747337,-0.9949365795792564,0.6311171057603995,-1.3067876599450379,0.10512511054830838,subgroup,Fjob=='services' ∧ guardian=='father' ∧ higher=='yes',226.27192682781703,"[22, 29, 33, 56, 68, 92, 100, 101, 106, 111, 112, 120, 136, 137, 151, 161, 171, 193, 210, 231, 266]",21,11,0.7061,1.2534,4.9742,0.1759,0.8849614911669383,1.2781190503088993,0.98388671875,56.0,0.2963575239765412,-0.5525372739275138,0.44921875,31.0,0.05427385022007728,-1.7620207136591985,0.07373046875,16.0
0.6125,2.309,7.2116,0.303,-7.994957983421566,0.38287628893015535,0.5027901967371283,1.4761103619494693,0.032514666957452386,0.536891212440769,0.06573649406692376,-2.4461116429154988,0.07323450441270517,1.2728914726462017,0.42843582143288805,0.5503908324192985,0.673565867482371,0.4580890290420072,0.8784364969077252,-1.6612245569166597,0.0872833222903518,subgroup,"Dalc in (0.999, 2.0] ∧ Fjob=='services' ∧ guardian=='father'",211.98563161794172,"[22, 29, 33, 56, 68, 92, 100, 101, 104, 106, 111, 112, 120, 136, 137, 151, 161, 171, 210, 231, 266]",21,10,0.755,1.0509,4.5589,-0.1659,0.7271576217479536,0.6278762146816141,0.9677734375,45.0,0.14512614653590605,-1.123615974209301,0.2158203125,19.0,0.03876249422371051,-1.9921706379430835,0.0322265625,9.0
0.4289,1.8842,7.523,0.5006,-7.763308692983487,0.017511196530261175,0.9673851562907948,1.5499493958476205,0.006254864333683873,0.5830513054644608,0.002029819269076337,-1.4564850418244135,0.34639980513449675,-1.7681245261447018,0.23722528336356274,2.145240006495744,0.0839434092796726,0.9331042411135617,0.7375397550967298,-0.3425496294409073,0.7371799449220697,subgroup,"Fjob=='services' ∧ Medu in (-0.001, 2.0] ∧ internet=='yes'",210.46868991069073,"[1, 17, 29, 39, 58, 92, 101, 104, 106, 120, 133, 137, 151, 162, 171, 205, 220, 221, 224, 231, 232, 239, 244, 266, 267]",25,15,0.6763,1.261,4.2645,0.1706,0.7703526785177321,0.7609813312898076,0.834869384765625,77.0,0.17521320758336711,-0.9660194590275372,0.151397705078125,41.0,0.018868131668472846,-2.294576152882193,0.0364990234375,28.0
0.2822,2.6581,12.1302,-0.6201,-9.16817411199725,0.4497376707239156,0.30773139434766056,1.5893397635683677,0.00666686831739454,0.4595916903118589,0.004053123062222444,-1.276613379953539,0.3278449247907661,1.737502664858419,0.3176390456057491,-0.12266003031946737,0.9193778067955666,3.1153443918109747,0.23065300580902276,-2.5001113312913112,0.04209749418137676,subgroup,"Fjob=='services' ∧ Medu in (-0.001, 2.0] ∧ address=='U'",198.85118627962177,"[1, 17, 29, 39, 70, 92, 101, 104, 106, 120, 137, 151, 171, 205, 220, 221, 231, 232, 239, 261, 266, 267]",22,13,0.7227,1.2703,4.686,0.1345,0.8751973631297313,1.2099192765884974,0.952880859375,69.0,0.202621933085405,-0.862643730270291,0.2486572265625,35.0,0.012446274277520132,-2.5623736925120175,0.0286865234375,18.0
