course_code,collegeyear,FinalExam,WeeklyTests,StartTest,Midterm,CalculatedNumericResult,EndResult,Passed,origin,sex,croho,type_vooropleiding,double_major,course_repeater,active_minutes,total_course_activities,nightly_activities,distinct_days,logged_in_weekly,nr_files_viewed,nr_distinct_files_viewed,nr_slides_viewed,nr_practice_exams_viewed
2WAB0,2024,"0.4","0.0","2.0","1.0",0.6,NVD,false,ORIGIN_N,SEX_V,"B Architecture, Urbanism & Building Sciences",VWO,false,true,349,42,9,6,0,7,3,0,0
2WAB0,2024,"0.7","0.7","3.5","3.5",1.3,NVD,false,ORIGIN_E,SEX_V,"B Architecture, Urbanism & Building Sciences",BUITENL_SL,false,false,165,87,12,16,0,17,6,0,0
2WAB0,2024,"0.7","10.0","6.0","6.0",2.7,NVD,false,ORIGIN_E,SEX_V,"B Architecture, Urbanism & Building Sciences",BUITENL_SL,false,false,4334,318,120,27,0,75,20,0,29
2WAB0,2024,"0.7","6.9","6.0","2.8",2.1,NVD,false,ORIGIN_N,SEX_M,B Industrial Design,VWO,false,true,85,112,36,10,0,10,2,0,1
2WAB0,2024,"0.7","7.8","5.0","1.8",2.0,NVD,false,ORIGIN_E,SEX_M,B Electrical Engineering,BUITENL_SL,false,false,685,15,3,4,0,27,12,0,13
2WAB0,2024,"0.8","10.0","6.0","4.0",2.6,NVD,false,ORIGIN_N,SEX_M,"B Architecture, Urbanism & Building Sciences",VWO,false,false,1874,225,18,24,0,54,23,0,3
2WAB0,2024,"0.8","3.3","5.0","4.0",1.7,NVD,false,ORIGIN_N,SEX_V,B Industrial Design,VWO,false,false,368,116,24,12,0,16,6,0,3
2WAB0,2024,"1.0","2.2","4.5","2.0",1.6,NVD,false,ORIGIN_N,SEX_M,B Industrial Design,VWO,false,true,828,68,12,8,0,6,1,0,0
2WAB0,2024,"1.0","5.6","0.0","0.0",1.3,NVD,false,ORIGIN_R,SEX_V,"B Architecture, Urbanism & Building Sciences",BUITENL_SL,false,true,831,99,27,13,0,19,5,0,10
2WAB0,2024,"1.0","8.5","4.0","1.5",2.1,NVD,false,ORIGIN_E,SEX_M,B Industrial Design,BUITENL_SL,false,true,3878,196,20,17,0,29,11,0,14
