course_code,collegeyear,FinalExam,WeeklyTests,StartTest,Midterm,CalculatedNumericResult,EndResult,Passed,origin,sex,croho,type_vooropleiding,double_major,course_repeater,active_minutes,total_course_activities,nightly_activities,distinct_days,logged_in_weekly,nr_files_viewed,nr_distinct_files_viewed,nr_slides_viewed,nr_practice_exams_viewed
2WBB0,2025,,7.0,4.5,4.5,0.5,NVD,False,ORIGIN_E,SEX_M,B Applied Physics,BUITENL_SL,False,False,23.0,96.0,6.0,9.0,0.0,20.0,9.0,0.0,13.0
2WBB0,2025,,8.0,0.0,0.0,6.2,7,True,ORIGIN_N,SEX_V,B Industrial Design,WO,False,True,20.0,129.0,30.0,14.0,0.0,18.0,1.0,0.0,0.0
2WBB0,2025,0.0,10.0,10.0,3.3,2.3,NVD,False,ORIGIN_R,SEX_M,B Computer Science & Engineering,BUITENL_SL,False,False,1233.0,342.0,57.0,22.0,0.0,73.0,29.0,16.0,29.0
2WBB0,2025,0.1,0.0,6.0,1.0,0.8,NVD,False,ORIGIN_N,SEX_M,B Electrical Engineering,VWO,False,False,336.0,192.0,15.0,19.0,0.0,33.0,4.0,1.0,0.0
2WBB0,2025,0.1,10.0,4.5,1.0,1.9,NVD,False,ORIGIN_N,SEX_M,B Electrical Engineering,HBO,False,False,870.0,534.0,195.0,44.0,1.0,99.0,19.0,4.0,21.0
2WBB0,2025,0.1,2.0,4.5,3.0,1.0,NVD,False,ORIGIN_R,SEX_M,B Electrical Engineering,BUITENL_SL,False,False,206.0,126.0,18.0,22.0,0.0,15.0,4.0,0.0,1.0
2WBB0,2025,0.3,10.0,3.0,2.0,2.0,NVD,False,ORIGIN_N,SEX_M,B Computer Science & Engineering,VWO,False,False,2444.0,843.0,54.0,45.0,0.0,162.0,26.0,21.0,26.0
2WBB0,2025,0.4,8.5,6.0,1.5,1.9,NVD,False,ORIGIN_N,SEX_M,B Mechanical Engineering,VWO,False,False,3381.0,249.0,12.0,27.0,0.0,40.0,3.0,0.0,3.0
2WBB0,2025,0.5,0.0,6.5,1.3,1.1,NVD,False,ORIGIN_R,SEX_M,B Electrical Engineering,BUITENL_SL,False,False,,,,,,,,,
2WBB0,2025,0.5,10.0,1.5,0.0,1.9,NVD,False,ORIGIN_E,SEX_V,B Psychology & Technology,BUITENL_SL,False,False,1225.0,450.0,12.0,52.0,1.0,67.0,16.0,5.0,11.0
2WBB0,2025,0.5,2.1,6.5,0.0,1.4,NVD,False,ORIGIN_N,SEX_M,B Innovation Sciences,VWO,False,True,1651.0,186.0,36.0,21.0,0.0,32.0,4.0,1.0,2.0
2WBB0,2025,0.5,2.8,4.5,0.0,1.1,NVD,False,ORIGIN_N,SEX_M,B Industrial Engineering,VWO,False,True,1484.0,204.0,0.0,15.0,0.0,48.0,13.0,9.0,18.0
2WBB0,2025,0.5,5.5,6.0,4.0,1.9,NVD,False,ORIGIN_N,SEX_M,B Data Science (joint degree),VWO,False,False,1935.0,414.0,12.0,28.0,0.0,80.0,16.0,6.0,19.0
2WBB0,2025,0.5,7.0,3.5,0.8,1.5,NVD,False,ORIGIN_R,SEX_M,B Data Science (joint degree),BUITENL_SL,False,False,283.0,225.0,18.0,33.0,0.0,30.0,3.0,3.0,0.0
2WBB0,2025,0.6,1.3,3.5,2.5,1.2,NVD,False,ORIGIN_E,SEX_M,B Data Science (joint degree),BUITENL_SL,False,False,1458.0,186.0,9.0,20.0,0.0,30.0,6.0,0.0,6.0
2WBB0,2025,0.6,10.0,5.0,2.0,2.1,NVD,False,ORIGIN_N,SEX_M,B Mechanical Engineering,HBO,False,True,705.0,213.0,21.0,24.0,0.0,37.0,12.0,3.0,11.0
2WBB0,2025,0.6,10.0,6.5,0.0,2.1,NVD,False,ORIGIN_N,SEX_M,B Psychology & Technology,VWO,False,False,1226.0,354.0,36.0,34.0,0.0,53.0,18.0,0.0,18.0
2WBB0,2025,0.6,4.1,4.0,1.5,1.5,NVD,False,ORIGIN_E,SEX_V,B Industrial Engineering,BUITENL_SL,False,False,182.0,183.0,18.0,20.0,0.0,31.0,8.0,0.0,9.0
2WBB0,2025,0.6,4.6,5.0,0.0,1.4,NVD,False,ORIGIN_E,SEX_M,B Electrical Engineering,BUITENL_SL,False,True,1435.0,159.0,27.0,16.0,0.0,29.0,8.0,3.0,6.0
2WBB0,2025,0.6,5.0,7.5,6.0,2.3,NVD,False,ORIGIN_N,SEX_M,B Data Science (joint degree),VWO,False,False,1238.0,387.0,42.0,26.0,0.0,70.0,16.0,5.0,9.0
2WBB0,2025,0.6,6.5,5.0,2.0,2.0,NVD,False,ORIGIN_E,SEX_M,B Electrical Engineering,BUITENL_SL,False,False,3511.0,696.0,48.0,61.0,1.0,115.0,8.0,1.0,4.0
2WBB0,2025,0.8,0.0,5.0,0.0,1.1,NVD,False,ORIGIN_N,SEX_V,B Psychology & Technology,VWO,False,False,101.0,36.0,6.0,6.0,0.0,6.0,2.0,1.0,0.0
2WBB0,2025,0.8,10.0,7.0,2.8,2.5,NVD,False,ORIGIN_N,SEX_M,B Electrical Engineering,VWO,False,False,6711.0,492.0,33.0,37.0,0.0,90.0,20.0,4.0,20.0
2WBB0,2025,0.8,10.0,8.0,5.5,2.9,NVD,False,ORIGIN_N,SEX_M,B Electrical Engineering,VWO,False,False,1598.0,900.0,6.0,65.0,0.0,157.0,14.0,0.0,18.0
2WBB0,2025,0.8,8.5,4.0,2.0,2.1,NVD,False,ORIGIN_E,SEX_V,B Mechanical Engineering,BUITENL_SL,False,True,83.0,180.0,15.0,15.0,0.0,13.0,1.0,0.0,0.0
2WBB0,2025,0.8,8.5,6.0,0.0,2.0,2,False,ORIGIN_R,SEX_M,B Industrial Engineering,BUITENL_SL,False,False,4947.0,861.0,324.0,54.0,1.0,166.0,21.0,74.0,7.0
2WBB0,2025,0.9,10.0,2.5,1.0,2.0,NVD,False,ORIGIN_N,SEX_V,B Innovation Sciences,BUITENL_SL,False,True,343.0,123.0,9.0,13.0,0.0,20.0,7.0,0.0,7.0
2WBB0,2025,0.9,10.0,4.0,4.0,2.7,NVD,False,ORIGIN_R,SEX_M,B Electrical Engineering,BUITENL_SL,False,False,4606.0,750.0,153.0,56.0,1.0,132.0,19.0,0.0,28.0
2WBB0,2025,0.9,6.5,0.0,2.0,2.0,NVD,False,ORIGIN_N,SEX_M,B Data Science (joint degree),VWO,False,True,758.0,165.0,18.0,17.0,0.0,33.0,14.0,8.0,9.0
2WBB0,2025,0.9,7.7,4.5,3.0,2.4,NVD,False,ORIGIN_E,SEX_V,B Psychology & Technology,BUITENL_SL,False,False,3608.0,561.0,78.0,44.0,1.0,108.0,22.0,6.0,28.0
2WBB0,2025,0.9,8.5,6.0,5.0,2.6,NVD,False,ORIGIN_R,SEX_M,B Mechanical Engineering,VWO,False,False,2395.0,339.0,45.0,34.0,1.0,53.0,8.0,3.0,6.0
