final_exam,ga1,ga2,homework,CalculatedNumericResult,EndResult,Passed,origin,sex,croho,double_major,type_vooropleiding,ECTS,GPA,total_attended_labsessions,course_repeater,active_minutes,total_course_activities,nightly_activities,distinct_days,logged_in_weekly,nr_files_viewed,nr_distinct_files_viewed,nr_slides_viewed,nr_practice_exams_viewed
"1,0","0,0","0,4","7,0",1.3,NVD,false,ORIGIN_E,SEX_V,B Data Science (joint degree),false,BUITENL_SL,0,3.9,0,false,1236,312,12,23,1,47,22,9,7
"1,0","4,3","7,8","2,0",3.3,NVD,false,ORIGIN_E,SEX_M,B Data Science (joint degree),false,BUITENL_SL,0,3.8,2,false,994,256,72,22,1,37,20,11,4
"1,0","5,2","7,1","10,0",4.1,NVD,false,ORIGIN_R,SEX_V,B Industrial Engineering,false,BUITENL_SL,0,4.0,7,false,701,340,16,30,1,49,22,16,2
"1,0","7,9","7,8","10,0",4.6,NVD,false,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,0,5.7,3,false,1114,384,28,36,1,55,30,20,3
"1,5","0,0","0,0","0,0",0.8,NVD,false,ORIGIN_E,SEX_M,B Data Science (joint degree),false,BUITENL_SL,0,1.4,0,false,1279,136,20,14,0,15,11,1,0
"1,5","0,0","0,0","10,0",1.8,NVD,false,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,5.8,3,false,373,140,20,14,1,10,9,1,1
"1,5","3,0","6,3","10,0",3.8,NVD,false,ORIGIN_E,SEX_M,B Industrial Design,false,BUITENL_SL,40-60,4.4,2,true,4448,304,12,23,1,32,23,7,1
"1,5","3,1","0,4","0,0",1.3,NVD,false,ORIGIN_N,SEX_V,B Industrial Design,false,VWO,5,4.0,1,false,458,124,4,11,0,16,10,0,1
"1,5","3,2","6,6","10,0",3.9,NVD,false,ORIGIN_E,SEX_M,B Industrial Design,false,BUITENL_SL,10,3.4,1,false,1258,212,40,28,1,16,14,0,0
"1,5","4,3","6,3","4,0",3.4,NVD,false,ORIGIN_R,SEX_M,B Industrial Engineering,false,BUITENL_SL,0,3.3,0,false,464,232,36,15,1,33,19,13,0
"1,5","7,5","7,1","10,0",4.7,NVD,false,ORIGIN_E,SEX_M,B Industrial Design,false,BUITENL_SL,10,4.8,1,false,3938,356,60,28,1,47,25,19,4
"1,9","1,0","1,1","7,0",2.1,NVD,false,ORIGIN_E,SEX_M,B Industrial Engineering,false,BUITENL_SL,5,4.3,2,false,2660,320,56,33,1,47,28,14,2
"1,9","3,2","6,6","0,0",3.1,NVD,false,ORIGIN_N,SEX_M,B Data Science (joint degree),false,VWO,10,3.3,0,true,1607,208,0,29,1,26,16,5,1
"1,9","5,1","5,6","6,0",3.7,NVD,false,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,0,3.8,2,false,1276,256,4,20,1,35,21,7,2
"1,9","6,6","7,1","10,0",4.7,NVD,false,ORIGIN_N,SEX_M,B Industrial Design,false,BUITENL_SL,20-40,5.3,1,true,720,244,16,20,0,30,19,12,1
"1,9","6,8","7,2","9,0",4.7,NVD,false,ORIGIN_E,SEX_V,B Industrial Design,false,BUITENL_SL,5,5.4,3,false,1833,380,8,33,1,60,24,13,2
"1,9","6,9","5,2","7,0",4.0,NVD,false,ORIGIN_E,SEX_M,B Industrial Engineering,false,BUITENL_SL,0,3.1,0,false,673,276,68,22,1,37,21,3,4
"1,9","6,9","7,6","10,0",4.9,NVD,false,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,3.4,3,true,765,268,16,25,1,28,16,3,1
"1,9","8,1","6,9","10,0",4.9,NVD,false,ORIGIN_N,SEX_V,B Industrial Design,false,VWO,5,6.5,8,false,2208,292,12,30,1,34,23,9,6
"1,9","8,6","8,3","10,0",5.3,NVD,false,ORIGIN_N,SEX_M,B Data Science (joint degree),false,HBO,10,1.4,1,false,5392,372,108,28,1,52,28,15,6
"10,0","8,1","7,8","10,0",9.2,9.0,true,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,8.1,2,false,5442,376,120,34,1,53,33,16,5
"10,0","8,2","8,4","10,0",9.3,9.0,true,ORIGIN_R,SEX_M,B Data Science (joint degree),false,BUITENL_SL,15,7.5,11,false,7953,336,24,37,1,45,29,9,6
"10,0","8,6","8,9","10,0",9.5,10.0,true,ORIGIN_R,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,7.9,10,false,7187,516,80,53,1,67,31,24,10
"10,0","8,6","9,4","10,0",9.6,10.0,true,ORIGIN_R,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,8.7,9,false,4340,668,56,48,1,121,36,40,22
"10,0","8,7","9,2","10,0",9.6,10.0,true,ORIGIN_R,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,8.7,2,false,7958,612,116,43,1,111,31,52,16
"10,0","8,8","8,9","10,0",9.5,10.0,true,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,15,8.5,1,false,1617,352,40,34,1,45,23,22,7
"10,0","9,6","10,0","10,0",9.9,10.0,true,ORIGIN_R,SEX_V,B Computer Science & Engineering,false,BUITENL_SL,15,8.1,6,false,11687,508,80,46,1,80,32,16,15
"2,3","0,0","0,4","0,0",1.3,NVD,false,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,5,4.8,0,false,978,164,36,16,1,21,12,3,1
"2,3","2,5","0,0","4,0",1.9,NVD,false,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,5,2.8,2,false,465,220,76,20,0,28,20,7,2
"2,3","3,6","1,1","1,0",2.1,NVD,false,ORIGIN_N,SEX_M,B Industrial Design,false,VWO,5,5.2,1,false,2330,180,16,21,1,23,17,4,0
"2,3","6,7","6,2","8,0",4.5,NVD,false,ORIGIN_N,SEX_M,B Industrial Design,false,VWO,5,5.8,0,false,10115,584,72,40,1,98,32,41,6
"2,3","7,8","6,6","9,0",4.9,NVD,false,ORIGIN_R,SEX_V,B Industrial Engineering,false,BUITENL_SL,20-40,4.3,3,false,2035,384,12,26,1,62,33,11,8
"2,3","8,2","6,7","10,0",5.1,NVD,false,ORIGIN_N,SEX_V,B Industrial Engineering,false,HBO,0,4.6,6,false,11823,496,52,44,1,84,28,32,10
"2,3","9,1","6,6","9,0",5.1,NVD,false,ORIGIN_N,SEX_M,B Data Science (joint degree),false,BUITENL_SL,0,4.0,3,false,1135,356,72,25,1,51,25,14,9
"2,7","0,0","0,0","0,0",1.4,NVD,false,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,0,3.1,1,false,643,172,12,16,0,29,15,12,1
"2,7","0,0","0,0","8,0",2.2,NVD,false,ORIGIN_R,SEX_M,B Industrial Engineering,false,BUITENL_SL,10,6.3,2,false,1606,172,4,17,0,20,12,7,0
