subgroup,term,coef,p,significant
Ω,const,-1.7126784857735786,0.0005715538692403538,yes
Ω,G1,0.1787872416667537,0.009380880829494315,yes
Ω,G2,0.9721962377985314,1.7443888451293282e-43,yes
Ω,absences,0.03221172222714552,0.019292444342588526,yes
Ω,activities,-0.2920515309835571,0.19654301308444247,no
Ω,paid,0.039283277887936896,0.8695023195611555,no
Ω,famsup,0.1169858068312124,0.6304326610871325,no
Ω,schoolsup,0.4470985873898574,0.21073268758574165,no
Ω,studytime,-0.2053050902767419,0.1452874791792617,no
#1,const,-7.8607097129679335,0.005464409833403326,yes
#1,G1,-0.2378789906559462,0.5815579805644524,no
#1,G2,1.7845267318644702,0.002280301584600018,yes
#1,absences,0.5495702688839392,0.0032018560427574225,yes
#1,activities,-1.9849711334187516,0.1852585099439077,no
#1,paid,-3.4200508038779383,0.06056585222679803,yes
#1,famsup,2.086108014685189,0.13011206356922042,no
#1,schoolsup,1.954133136987477,0.38690819366076723,no
#1,studytime,0.39943929069780615,0.7176742240956181,no
#2,const,-7.385177232540452,0.0011761044587765262,yes
#2,G1,0.1619899529969534,0.6595066222970303,no
#2,G2,1.445356882994387,0.0012536676451888494,yes
#2,absences,0.5515361681456241,0.00045848469842945305,yes
#2,activities,-1.5180705496824538,0.1845578967771046,no
#2,paid,-1.701041851808006,0.18296404188386328,no
#2,famsup,2.3588012147440915,0.03640707067668621,yes
#2,schoolsup,2.490114313016126,0.17853457693830388,no
#2,studytime,-0.6216708801485636,0.4159682527017724,no
#3,const,-8.933847678527215,0.0004616414976077415,yes
#3,G1,0.48314228894504574,0.17331818880211405,no
#3,G2,1.52538253753267,0.0009421942929821491,yes
#3,absences,0.4505455469379746,0.0009607179958317619,yes
#3,activities,-1.4813529322560772,0.1761797054829575,no
#3,paid,1.3810282387612447,0.3218579551327567,no
#3,famsup,0.1947186711348401,0.859544388891225,no
#3,schoolsup,4.63941152742019,0.012569674194020313,yes
#3,studytime,-2.371279307708471,0.01109014811743066,yes
#4,const,-6.86477414090537,0.0007507491269222831,yes
#4,G1,0.14235572786482298,0.644122661312578,no
#4,G2,1.4462331668175508,0.0002693780074122875,yes
#4,absences,0.5071002705539516,0.0005668911154932593,yes
#4,activities,-1.4840196903907372,0.1819440530707426,no
#4,paid,-1.4586805377920118,0.22039397981596054,no
#4,famsup,1.8372103824657529,0.08854962411397294,yes
#4,schoolsup,3.2352409208171804,0.04460794473334211,yes
#4,studytime,-0.6020318833116023,0.4373643220397804,no
#5,const,-7.080770027446589,0.034929186804547575,yes
#5,G1,0.5956167959741803,0.14222636698386115,no
#5,G2,1.2259779119329832,0.012970795665470202,yes
#5,absences,0.4795860590989075,0.05310044126366264,yes
#5,activities,-2.4934055883284776,0.03408029691553821,yes
#5,paid,0.8233492758254064,0.5056196070500604,no
#5,famsup,0.40524061869736094,0.7148455997557116,no
#5,schoolsup,2.0434893430454784,0.31450907293609076,no
#5,studytime,-1.703452537407896,0.00750217322465625,yes
#6,const,-8.10494726199195,0.000432529694249969,yes
#6,G1,0.4351524470203578,0.25370783854108203,no
#6,G2,1.2516092386802096,0.0040634562465667315,yes
#6,absences,0.4973197610319855,0.0006066642007895788,yes
#6,activities,-1.3116914348416637,0.2444279686996574,no
#6,paid,-1.3851113489190554,0.24737669682320168,no
#6,famsup,2.0100244325208907,0.07205422155938424,yes
#6,schoolsup,3.578922630953086,0.030907816182143437,yes
#6,studytime,-0.7396662324457932,0.3508947839952745,no
#7,const,-7.096571063374969,0.0012724452000922356,yes
#7,G1,0.14189430503095113,0.6614322786377322,no
#7,G2,1.4783930279295912,0.0005263739189115377,yes
#7,absences,0.4747828698199378,0.006510116842939529,yes
#7,activities,-1.361027118496105,0.2732322412016952,no
#7,paid,-1.4974004056517671,0.2745074855246641,no
#7,famsup,1.93271135233246,0.09957026503054889,yes
#7,schoolsup,3.2604082329628565,0.051838277424231416,yes
#7,studytime,-0.6645660798753599,0.4413967270516881,no
#8,const,4.585355668729263,0.028576332690529737,yes
#8,G1,1.9654052117549758,0.0004895727775694274,yes
#8,G2,-0.682648275613585,0.17029497810757652,no
#8,absences,-0.03344827517886835,0.28974501268718184,no
#8,activities,-4.1502325997536,0.00017671577401044952,yes
#8,paid,0.05629537146697672,0.9512238677603362,no
#8,famsup,-1.4933974717745535,0.11312482665237487,no
#8,schoolsup,3.6054741163725543,0.04270777188328558,yes
#8,studytime,-2.801871959318066,0.00013278910922419655,yes
#9,const,-4.505929770141682,0.0416522555366697,yes
#9,G1,0.6417545290590659,0.1415786713841886,no
#9,G2,0.5570407786293337,0.14616733300889206,no
#9,absences,0.5118714106235935,0.025200880808868353,yes
#9,activities,-2.925064592025799,0.025438891080967144,yes
#9,paid,-0.17617122637534965,0.9135839380416336,no
#9,famsup,0.2422814886009288,0.8820424802745768,no
#9,schoolsup,4.874477620063379,0.13341964633076372,no
#9,studytime,0.18081392973661337,0.8033218428528474,no
#10,const,-4.959233660344161,0.02586374505197196,yes
#10,G1,0.7744352383535834,0.0817078569158269,yes
#10,G2,0.4878744972482056,0.19469438527496627,no
#10,absences,0.5058471288169222,0.024315975686348135,yes
#10,activities,-2.443475578030432,0.0618516024152191,yes
#10,paid,-0.1187191789666292,0.9403249676979759,no
#10,famsup,0.6334340015963762,0.6964319472150711,no
#10,schoolsup,5.15509519201096,0.10742391370302766,no
#10,studytime,-0.1810634254832616,0.8110594271826054,no
#11,const,-6.199899853123469,0.06794979473058924,yes
#11,G1,0.13176772851484797,0.752370291576786,no
#11,G2,1.408704173920078,0.013212028014119524,yes
#11,absences,0.4814446627429985,0.012329125062014864,yes
#11,activities,-1.161845221405195,0.5148216402889154,no
#11,paid,-0.7048981154064067,0.683082656421894,no
#11,famsup,2.0766516183291905,0.12003297028548351,no
#11,schoolsup,3.0978039319327544,0.11928820131026688,no
#11,studytime,-0.9628960929642303,0.4120229899741902,no
#12,const,-6.072993921195831,0.08614317155313853,yes
#12,G1,0.46448404556395884,0.26055796317974894,no
#12,G2,1.2236317076500063,0.01854580184916928,yes
#12,absences,0.481492472096055,0.06635565321373238,yes
#12,activities,-2.292727229520043,0.06336124358250676,yes
#12,paid,0.5240016058736611,0.6859548734867761,no
#12,famsup,0.6361408319621935,0.5899456791832199,no
#12,schoolsup,0.3579650402788601,0.8391718910367983,no
#12,studytime,-1.4640128431779416,0.020141871215294028,yes
#13,const,-6.167140849615679,0.06344628139958286,yes
#13,G1,0.464191937191455,0.24702562646375167,no
#13,G2,1.2275843905739918,0.014786671041799765,yes
#13,absences,0.47945596899456666,0.05896171245645058,yes
#13,activities,-2.271452115780236,0.05445589190684583,yes
#13,paid,0.53787007166572,0.6674775109527129,no
#13,famsup,0.6560108877667377,0.5619600975657768,no
#13,schoolsup,0.38973750343864744,0.8172448293254533,no
#13,studytime,-1.4578831891094373,0.016630418493034777,yes
