num_clicks,previous_grade,homework_score,exam_grade
860,1.65,72.24,9.18
3772,5.83,0.74,9.12
3092,10.0,50.91,7.39
466,1.51,13.93,1.98
4426,8.17,86.62,8.43
3444,2.07,87.16,2.04
3171,7.82,41.83,7.43
2919,7.35,44.44,6.86
130,3.0,30.33,7.59
1685,3.26,71.66,5.33
769,7.93,35.87,6.39
2391,4.61,26.78,9.53
2433,7.31,43.22,1.01
1184,1.48,9.15,3.09
4555,8.53,74.66,6.11
3385,7.11,1.26,9.64
4117,9.07,64.45,0.96
4843,1.32,18.29,0.23
2904,5.93,23.24,0.56
474,5.99,63.56,0.52
1082,3.53,99.29,9.08
2558,4.58,77.77,7.21
2047,0.38,22.58,6.77
2747,7.46,17.6,5.23
975,5.49,86.62,7.82
1806,0.58,44.42,1.56
189,6.81,13.71,3.92
2734,4.67,86.22,4.9
3005,0.34,81.61,1.1
4658,9.7,98.39,4.2
1899,9.49,90.97,3.17
1267,5.13,85.18,0.36
1528,0.94,5.26,1.37
3202,7.55,10.44,7.64
3556,4.92,56.9,0.18
3890,3.02,53.15,9.34
646,4.91,45.8,0.86
2888,5.22,39.68,7.99
2435,5.63,43.12,8.99
600,4.41,56.93,9.41
2363,6.06,0.21,8.67
2061,9.19,26.07,2.88
241,3.62,51.83,3.33
2041,7.26,72.22,4.27
2824,8.94,17.42,1.39
2612,4.56,54.69,0.22
1363,4.43,71.45,8.69
1478,6.02,44.46,5.54
2556,5.91,2.71,6.09
775,8.07,44.93,9.27
4014,4.76,29.64,6.65
34,9.96,92.96,6.91
3152,0.59,12.46,7.87
1955,0.03,65.25,1.16
1585,6.4,5.27,3.6
3943,2.98,44.62,9.68
3073,2.4,55.4,9.23
1021,3.12,29.8,8.84
3461,2.56,45.51,4.52
2613,0.31,16.36,8.57
3843,9.72,30.41,0.48
1500,2.21,62.11,1.49
4798,7.34,30.18,4.14
161,7.63,89.97,4.83
4297,9.29,62.84,2.64
1981,0.31,43.86,3.56
995,8.72,3.88,1.63
4911,5.27,49.95,4.89
3342,6.33,76.48,7.94
4551,6.44,26.56,6.61
3798,8.2,80.68,1.08
1275,3.33,25.18,4.88
1016,7.33,82.37,6.98
337,5.29,8.53,5.3
878,7.93,86.62,3.92
1076,9.91,49.92,6.22
4887,2.01,29.65,9.69
3993,9.95,26.51,0.95
4859,0.9,43.2,3.9
379,0.02,99.9,4.07
492,0.44,22.03,5.77
2062,3.42,10.32,1.52
3884,6.33,58.5,1.77
64,0.69,48.85,2.85
2568,0.06,52.42,9.56
2027,9.37,66.69,7.34
2695,8.22,26.71,6.62
1495,8.09,91.07,8.17
391,8.84,43.57,1.28
4514,7.0,12.91,8.59
4474,1.04,74.23,5.95
3561,3.99,64.31,3.35
2278,7.23,31.57,8.16
3099,2.8,62.15,8.03
200,6.87,21.99,8.46
4875,0.24,44.48,1.16
3104,3.06,89.94,9.69
4598,5.49,13.35,9.6
2454,6.32,38.67,3.57
3645,5.77,82.11,0.66
804,6.98,96.95,1.67
2731,0.06,45.39,9.93
2773,1.01,50.7,5.63
1570,8.69,57.22,3.57
2690,6.82,93.23,2.88
3840,1.13,85.82,2.57
1028,8.42,17.06,6.64
502,2.42,43.68,4.19
4493,4.78,46.4,9.65
870,1.45,78.91,6.84
4488,7.1,60.29,7.92
206,6.67,65.42,2.93
1484,2.11,99.82,0.79
863,8.63,7.5,4.88
2790,4.01,22.3,3.15
563,2.93,40.79,2.02
4191,1.52,34.78,9.53
1757,2.66,2.16,4.44
1678,0.22,9.18,1.75
3242,5.83,68.1,1.99
4636,8.42,87.93,2.81
1059,5.49,51.42,9.99
1722,2.19,53.92,2.68
3314,0.34,25.51,3.29
3157,2.15,76.79,6.59
2625,4.16,75.18,2.94
2729,7.6,58.84,2.16
1597,1.88,21.27,1.59
3060,7.2,9.7,3.13
2693,8.67,6.42,1.06
4891,4.54,59.27,0.19
3627,8.21,82.5,8.05
1363,5.55,85.83,1.38
1981,6.37,46.36,7.76
1663,5.26,78.43,7.98
1529,4.63,94.69,5.38
2038,2.35,27.52,3.1
3302,3.03,39.8,1.45
2237,2.9,93.15,7.37
1306,5.63,33.82,6.01
4029,1.2,91.39,6.55
2675,9.17,98.1,0.09
1282,7.21,66.18,9.28
709,4.01,81.69,0.66
4744,1.59,74.95,3.67
4413,8.82,69.95,4.03
3748,8.24,30.69,0.01
4779,7.22,5.71,4.97
663,2.72,34.31,7.53
1998,4.02,66.69,8.23
3445,1.03,10.25,8.79
3743,1.89,1.19,4.88
1495,7.83,13.97,6.31
3304,7.15,71.57,0.8
3763,5.93,97.28,4.88
1853,8.96,98.31,1.55
4659,5.83,49.4,3.7
1291,4.67,86.94,3.29
3581,3.4,73.68,4.24
3457,9.4,50.1,5.72
1636,0.83,57.28,9.03
3696,9.31,13.72,3.94
2999,8.27,93.77,9.81
3152,1.3,35.19,7.59
698,5.65,44.61,5.11
2160,8.67,67.17,6.44
4097,5.72,33.39,1.02
4737,9.07,25.43,8.45
854,9.43,63.1,5.82
3474,4.22,2.5,9.86
1707,3.77,72.07,6.36
2777,9.36,51.4,8.34
1733,6.75,60.58,8.0
4931,1.16,63.19,3.45
3510,0.42,52.71,2.6
202,5.65,58.25,4.3
3255,9.3,68.38,4.67
4218,8.44,75.31,2.4
4496,6.76,72.75,8.95
766,1.39,86.96,5.43
4389,2.54,18.94,9.78
2327,8.76,40.11,8.1
2931,1.83,94.78,5.56
197,2.78,39.66,9.47
1930,1.3,12.49,5.05
3582,6.76,52.54,8.87
608,9.44,10.95,3.58
3272,2.69,20.29,3.79
1147,4.75,99.83,4.18
4282,6.34,54.14,5.47
3397,9.99,28.41,5.53
2511,1.05,99.48,4.96
1794,4.99,96.66,3.06
659,3.85,44.07,9.27
2811,8.66,26.04,5.89
1369,4.76,83.84,4.08
1986,1.11,71.56,6.51
146,6.34,68.69,7.68
3219,7.71,89.31,9.61
2911,0.03,68.94,5.0
1734,8.59,28.38,1.12
1843,1.86,69.39,4.41
488,5.52,30.58,4.79
2976,4.16,75.92,8.97
1959,7.2,61.97,3.95
2385,3.71,7.74,9.53
2919,8.7,51.28,4.85
4736,7.3,34.33,9.74
1802,6.48,32.86,0.08
4061,7.96,60.23,8.99
3369,7.54,32.23,9.31
262,0.36,77.69,9.61
623,3.95,7.08,0.13
1016,9.31,66.04,1.72
3643,1.26,80.92,6.54
4976,7.37,67.28,0.25
2049,9.75,49.72,0.64
3723,0.52,95.03,2.21
4548,6.82,29.99,5.12
3108,4.68,1.92,5.46
4090,5.79,43.2,0.34
2056,0.85,3.3,1.7
3170,0.43,95.39,5.0
1682,6.67,20.99,5.94
2255,8.23,78.89,1.48
1154,7.82,77.46,3.99
4499,5.44,21.77,9.04
3191,1.0,62.12,9.99
1696,6.88,4.81,9.87
3991,2.42,48.36,8.82
4723,9.11,1.46,3.95
4682,8.38,92.11,6.87
1648,7.09,97.61,4.17
1445,9.49,22.23,6.49
4199,0.31,20.81,3.09
3923,7.36,75.37,6.06
253,3.3,25.34,5.24
3183,9.06,89.51,0.24
2557,2.67,57.39,7.91
98,7.25,35.08,0.12
2200,8.78,83.27,2.93
2961,0.42,49.34,0.06
4973,3.98,91.16,3.76
4433,7.62,92.8,0.63
3777,4.55,16.54,9.14
2869,2.67,0.23,4.16
3234,2.2,98.39,4.59
3791,1.32,90.61,3.5
956,8.57,5.54,6.28
4067,5.75,83.3,7.84
160,0.76,45.78,6.48
4493,3.83,25.9,7.48
1300,3.68,87.87,9.06
4911,1.82,19.67,8.64
3987,4.36,94.73,6.74
1527,3.32,20.56,2.15
1218,3.42,61.37,6.38
4496,7.39,22.31,5.06
4735,2.23,54.57,7.17
3104,6.42,68.4,8.33
2735,5.71,19.02,7.43
4555,5.68,52.09,8.47
954,6.63,46.91,0.64
4565,5.48,7.1,0.32
3446,8.79,81.83,2.59
1045,6.76,33.57,9.01
1693,5.47,57.46,8.24
3436,8.3,51.48,6.83
562,6.06,51.33,7.01
2485,2.91,10.72,7.27
3354,2.07,42.35,9.43
225,1.52,45.24,8.32
4893,8.99,73.36,6.23
959,7.1,84.0,6.66
4548,9.37,54.5,2.14
3067,6.03,8.68,6.57
815,4.73,23.68,4.25
4754,0.6,16.49,1.53
4642,6.72,12.46,8.06
3120,5.82,36.59,5.1
16,9.9,22.94,9.77
1243,2.39,21.83,2.82
2205,5.31,5.47,4.81
2524,6.51,1.77,4.48
1069,6.45,10.28,1.21
3444,5.61,17.22,4.26
2565,7.77,43.1,2.88
1060,2.05,51.05,1.6
2327,7.26,14.06,2.82
3420,6.2,42.48,2.33
301,8.96,34.17,7.34
4276,8.47,18.34,0.31
606,3.15,0.68,6.17
3170,2.76,46.7,7.61
699,9.82,68.57,4.81
1139,5.27,22.63,9.32
190,9.06,13.18,7.08
2300,1.64,88.7,7.48
980,6.43,27.5,1.97
2975,8.1,22.36,7.77
1184,9.47,85.71,8.32
3327,3.37,81.71,3.61
3394,7.25,44.83,2.13
127,5.39,48.92,3.85
2065,0.61,21.77,7.4
1816,6.9,7.83,4.18
569,6.9,57.34,7.37
1895,9.31,9.83,1.14
2733,4.97,44.93,8.06
3863,2.3,94.05,2.53
4721,0.45,95.28,2.49
4014,4.16,23.93,5.9
2901,3.02,62.41,0.7
1686,7.61,47.41,0.26
3009,3.54,87.57,2.61
154,9.49,27.14,5.38
2537,9.62,0.37,9.08
1409,6.21,16.26,8.46
4057,9.29,34.95,4.9
784,7.61,31.57,0.37
3175,5.47,79.14,5.35
4341,1.8,68.06,7.05
2806,4.59,29.96,3.39
537,5.61,45.77,1.11
1841,8.64,9.56,2.79
2455,4.81,89.81,7.72
524,8.98,93.54,3.51
2950,6.74,97.98,8.12
4131,1.37,86.86,3.2
4780,9.95,17.4,1.64
4115,5.27,4.62,4.36
2368,3.92,57.96,4.52
3847,6.59,91.26,0.16
4495,1.09,17.74,1.17
2701,6.37,0.7,1.85
971,4.98,80.55,1.14
1166,4.07,7.68,3.42
4929,9.53,41.37,9.65
2774,5.23,67.89,5.09
1982,2.19,23.68,6.28
853,4.59,8.4,3.56
4146,9.19,77.0,3.23
3736,1.76,63.02,0.23
3769,2.14,98.85,5.0
574,0.13,34.43,4.84
3261,0.14,6.18,1.58
1148,8.29,73.44,7.64
1715,7.32,52.17,4.93
4777,3.55,21.32,3.39
4933,6.98,78.17,1.47
3854,3.95,20.38,5.52
2491,9.53,26.07,7.53
2660,9.67,9.25,2.82
3124,3.93,39.94,2.19
3051,8.54,41.89,5.22
4,7.73,51.46,1.55
4869,3.1,70.9,6.67
876,2.32,90.61,6.05
991,4.58,13.77,0.87
4142,7.81,5.43,0.37
4364,9.6,1.85,6.2
4465,7.64,14.36,2.94
635,8.55,65.79,0.86
1693,6.03,72.75,7.59
1682,8.35,78.65,3.14
4752,7.84,24.37,4.6
119,3.77,30.59,2.37
830,5.52,48.31,6.27
3675,8.05,6.32,3.01
1369,0.46,61.11,9.68
740,8.08,98.37,7.03
116,1.78,36.08,1.37
2838,5.15,75.28,4.17
1150,8.08,50.0,3.85
1931,2.54,12.78,5.34
1012,2.46,58.22,8.42
1664,4.03,29.99,5.83
1081,8.95,3.44,0.62
4729,0.0,63.49,6.55
512,9.01,85.89,0.08
2849,1.54,34.48,7.8
559,9.9,39.03,6.67
3672,9.55,89.1,3.09
4583,4.95,81.36,2.92
4992,5.13,71.5,7.98
3343,4.82,24.88,7.83
4070,6.35,91.02,3.52
4799,0.91,15.44,2.99
1470,0.33,62.68,5.6
580,0.58,2.88,0.08
2294,4.44,64.37,0.83
3147,2.76,27.71,1.26
4249,6.22,44.97,1.85
1679,9.92,34.53,5.12
3506,3.86,17.28,9.92
2744,5.74,62.2,6.53
3356,4.16,88.2,0.61
4045,8.47,95.91,5.26
1243,9.02,19.23,4.97
3118,8.77,71.74,1.44
2141,9.74,66.43,9.2
3059,0.28,34.34,4.41
4548,8.4,1.91,9.95
2959,7.52,68.98,4.2
2265,2.29,94.55,6.08
2479,9.56,63.21,1.05
4646,1.48,43.53,4.54
1635,6.8,52.52,2.39
1757,2.25,19.96,8.36
4452,4.31,75.05,7.84
2070,7.19,74.64,8.24
2849,5.63,14.55,7.24
3251,4.28,87.8,8.33
3730,3.26,26.92,2.01
2489,8.4,98.23,4.52
1631,1.44,38.29,6.92
2816,4.3,17.79,6.37
1015,9.04,35.17,7.16
1348,8.46,44.02,2.24
4611,4.01,6.93,0.98
3087,7.63,57.82,9.17
2839,8.23,59.76,5.6
